trip_id	household_id	person_n	trip_n	travel_mode	purpose	fueltype	faretype	bus_scale	survey_year	travel_year	travel_month	travel_date	day_of_week	start_time	age	female	driving_license	car_ownership	distance	dur_walking	dur_cycling	dur_pt_access	dur_pt_rail	dur_pt_bus	dur_pt_int	pt_interchanges	dur_driving	cost_transit	cost_driving_fuel	cost_driving_ccharge	driving_traffic_percent
4	0	1	2	4	3	1	4	1.0	1	2012	4	1	7	19.58333333	54	0	1	2	4562	1.037777778	0.355833333	0.203055556	0.0	0.189444444	0.0	0	0.229166667	1.5	0.78	0.0	0.130909
30	8	1	3	1	3	1	1	1.0	1	2012	4	1	7	16.0	49	1	0	1	765	0.259444444	0.0922222219999999	0.098888889	0.0	0.044444444	0.0	0	0.0875	1.5	0.2	0.0	0.292064
38	9	1	1	4	3	1	3	0.0	1	2012	4	1	7	14.5	11	1	0	2	1828	0.469722222	0.138333333	0.194722222	0.0	0.107777778	0.0	0	0.207777778	0.0	0.49	0.0	0.467914
49	12	0	3	4	3	1	5	0.0	1	2012	4	1	7	11.75	64	0	1	1	1274	0.297777778	0.097222222	0.0825	0.0	0.061944444	0.0	0	0.0625	0.0	0.2	0.0	0.124444
102	20	2	0	2	3	1	1	1.0	1	2012	4	1	7	10.0	30	0	1	1	6398	1.4202777780000002	0.4769444439999999	0.339722222	0.183333333	0.1166666669999999	0.2666666669999999	1	0.250833333	3.0	0.89	0.0	0.170543
123	26	0	2	4	5	1	5	0.0	1	2012	4	2	1	10.25	61	0	1	2	1424	0.3975	0.204166667	0.09	0.0	0.120277778	0.0	0	0.1172222219999999	0.0	0.37	0.0	0.0450237
128	26	1	2	4	3	1	1	1.0	1	2012	4	2	1	15.5	59	1	1	2	2016	0.462222222	0.145	0.164444444	0.0	0.091944444	0.0	0	0.085833333	1.5	0.29	0.0	0.365696
141	29	1	0	3	1	1	1	1.0	1	2012	4	2	1	13.0	54	1	0	1	6161	2.361111111	0.601666667	0.129722222	0.183333333	0.228333333	0.1	1	0.374166667	3.0	1.27	0.0	0.357832
152	31	0	1	2	1	6	1	1.0	1	2012	4	2	1	10.0	32	0	1	0	3032	0.754722222	0.21	0.153888889	0.0	0.3725	0.083333333	1	0.238333333	3.0	0.61	0.0	0.41958
168	36	0	0	3	3	6	1	0.0	1	2012	4	2	1	10.5	35	1	0	0	4370	1.069166667	0.404166667	0.1066666669999999	0.15	0.083333333	0.1	1	0.306944444	2.4	0.76	10.5	0.677828
185	41	0	3	3	3	1	5	0.0	1	2012	4	3	2	16.75	62	1	1	2	2392	0.591944444	0.181388889	0.049166667	0.0	0.1875	0.0	0	0.176388889	0.0	0.48	0.0	0.179528
191	42	0	0	4	4	2	1	1.0	1	2012	4	3	2	6.75	48	0	1	2	10081	2.341388889	0.663611111	0.006111111	0.0	0.7775	0.229166667	2	0.4608333329999999	4.5	1.37	0.0	0.361061
205	42	3	4	3	5	2	3	0.0	1	2012	4	3	2	17.16666667	13	1	0	2	1713	0.4577777779999999	0.18	0.1075	0.0	0.123055556	0.0	0	0.160833333	0.0	0.36	0.0	0.236615
209	43	0	2	3	3	6	5	0.0	1	2012	4	3	2	13.5	43	0	1	0	1541	0.360277778	0.116944444	0.129444444	0.0	0.091944444	0.0	0	0.093333333	0.0	0.23	0.0	0.267857
266	59	0	0	4	3	1	5	0.0	1	2012	4	3	2	11.0	76	0	1	1	1547	0.363333333	0.093888889	0.08	0.0	0.0991666669999999	0.0	0	0.0922222219999999	0.0	0.27	0.0	0.0421686999999999
267	59	0	1	4	3	1	5	0.0	1	2012	4	3	2	12.0	76	0	1	1	1547	0.370833333	0.1266666669999999	0.055277778	0.0	0.138333333	0.0	0	0.083055556	0.0	0.26	0.0	0.0769231
310	71	1	1	4	5	2	5	0.0	1	2012	4	6	5	16.5	67	0	1	1	6448	1.5825	0.543888889	0.208333333	0.0	0.502777778	0.0	0	0.373333333	0.0	0.96	0.0	0.4159229999999999
316	73	0	0	1	3	6	5	0.0	1	2012	4	6	5	9.0	64	0	1	0	960	0.263055556	0.098888889	0.1375	0.016666667	0.0	0.0	0	0.1436111109999999	0.0	0.32	0.0	0.1682789999999999
339	79	0	2	4	3	2	1	1.0	1	2012	4	6	5	16.5	29	1	1	2	884	0.238888889	0.083888889	0.163888889	0.0	0.0891666669999999	0.0	0	0.093055556	1.5	0.18	0.0	0.080597
347	81	1	4	4	2	1	1	1.0	1	2012	4	6	5	19.66666667	43	1	1	2	3197	0.814444444	0.221111111	0.176388889	0.05	0.106944444	0.152777778	1	0.231666667	3.0	0.76	0.0	0.583933
386	90	1	0	3	3	6	1	1.0	1	2012	4	8	7	9.583333333	25	1	0	0	4134	0.906111111	0.253333333	0.033611111	0.0	0.290555556	0.0	0	0.212222222	1.5	0.63	0.0	0.197644
408	95	1	4	1	5	1	1	1.0	1	2012	4	8	7	15.0	25	1	1	1	1333	0.325277778	0.128333333	0.130833333	0.033333333	0.0	0.0	0	0.167222222	2.4	0.34	0.0	0.4867109999999999
469	110	1	1	4	3	1	1	1.0	1	2012	4	9	1	11.5	55	1	1	2	6331	1.519444444	0.405555556	0.071944444	0.0	0.5	0.0	0	0.263333333	1.5	0.99	0.0	0.219409
472	112	1	0	1	3	6	1	1.0	1	2012	4	9	1	17.0	54	1	0	0	1502	0.380555556	0.093055556	0.179166667	0.0	0.095555556	0.0	0	0.094722222	1.5	0.26	0.0	0.00293255
473	112	1	1	1	3	6	1	1.0	1	2012	4	9	1	19.16666667	54	1	0	0	1502	0.3875	0.098888889	0.0325	0.0	0.206111111	0.065277778	1	0.1072222219999999	3.0	0.28	0.0	0.0518135
475	112	2	2	3	3	6	2	0.0	1	2012	4	9	1	12.5	16	1	0	0	1275	0.334722222	0.102777778	0.080833333	0.0	0.080555556	0.0	0	0.100833333	0.0	0.25	0.0	0.1184569999999999
496	121	0	0	3	3	6	4	0.5	1	2012	4	10	2	9.5	57	0	1	0	9326	2.121388889	0.766111111	0.065277778	0.35	0.083333333	0.158333333	1	0.867222222	2.35	1.82	10.5	0.762972
504	122	1	1	4	5	1	1	1.0	1	2012	4	10	2	13.0	27	0	1	2	4184	0.9625	0.288611111	0.040555556	0.016666667	0.333333333	0.066666667	1	0.29	3.0	1.01	0.0	0.322797
507	122	1	5	4	3	1	1	1.0	1	2012	4	10	2	22.5	27	0	1	2	4036	1.030277778	0.298888889	0.1041666669999999	0.0	0.345	0.186111111	1	0.258055556	3.0	0.85	0.0	0.172228
520	126	0	0	4	3	1	1	1.0	1	2012	4	10	2	10.5	49	0	1	1	2532	0.575	0.198611111	0.094722222	0.0	0.2166666669999999	0.0	0	0.124166667	1.5	0.4	0.0	0.331096
524	126	1	0	4	3	1	1	1.0	1	2012	4	10	2	10.5	50	1	1	1	2532	0.575	0.198611111	0.094722222	0.0	0.2166666669999999	0.0	0	0.124166667	1.5	0.4	0.0	0.331096
549	130	0	1	3	3	6	5	0.0	1	2012	4	10	2	16.0	70	1	0	0	11867	2.719444444	0.8533333329999999	0.220833333	0.416666667	0.133333333	0.083333333	1	0.899444444	0.0	2.01	0.0	0.63218
604	145	1	0	4	3	2	5	0.0	1	2012	4	12	4	14.0	70	0	1	1	1104	0.3383333329999999	0.141666667	0.088888889	0.0	0.133333333	0.0	0	0.128055556	0.0	0.26	0.0	0.2212579999999999
621	152	0	1	4	3	1	1	0.0	1	2012	4	12	4	15.16666667	35	0	1	1	1822	0.463611111	0.164444444	0.1186111109999999	0.0	0.241666667	0.0	0	0.228333333	0.0	0.47	0.0	0.461071
628	152	2	0	3	1	1	1	0.0	1	2012	4	12	4	7.0	35	1	1	1	7137	1.674166667	0.6527777779999999	0.126388889	0.233333333	0.0	0.1	1	0.638888889	2.9	1.54	10.5	0.742609
693	170	0	0	3	3	1	1	1.0	1	2012	4	12	4	18.5	37	0	1	2	5430	1.333055556	0.453055556	0.178888889	0.3	0.0	0.0	0	0.505833333	2.4	1.15	0.0	0.715541
730	179	3	0	3	1	2	1	1.0	1	2012	4	13	5	9.75	29	1	1	1	1663	0.4108333329999999	0.0991666669999999	0.093888889	0.0	0.1166666669999999	0.0	0	0.112777778	1.5	0.26	0.0	0.408867
744	180	2	0	4	3	2	5	0.0	1	2012	4	14	6	20.0	7	1	0	2	4987	1.128888889	0.3358333329999999	0.110277778	0.0	0.423888889	0.0	0	0.338611111	0.0	0.8	0.0	0.312551
745	180	2	1	4	5	2	5	0.0	1	2012	4	14	6	20.83333333	7	1	0	2	9838	2.3538888890000003	0.749166667	0.183055556	0.0	0.6969444440000001	0.0	0	0.3938888889999999	0.0	1.25	0.0	0.232017
747	180	3	0	4	3	2	5	0.0	1	2012	4	14	6	20.0	5	1	0	2	4987	1.128888889	0.3358333329999999	0.110277778	0.0	0.423888889	0.0	0	0.338611111	0.0	0.8	0.0	0.312551
755	183	0	1	4	3	1	1	1.0	1	2012	4	14	6	12.75	26	1	1	2	8634	2.095555556	0.610833333	0.1030555559999999	0.0	0.7566666670000001	0.183333333	1	0.464722222	3.0	1.42	0.0	0.295876
758	183	1	0	4	3	1	5	0.0	1	2012	4	14	6	9.25	10	1	0	2	8634	2.0927777780000003	0.609444444	0.106111111	0.0	0.663611111	0.083333333	1	0.384166667	0.0	1.35	0.0	0.175705
